date,usd_jpy,source,series,retrieved
2025-05-19,144.97,European Central Bank reference rates,EUR/JPY div EUR/USD,2026-09-13
2025-05-26,142.90,European Central Bank reference rates,EUR/JPY div EUR/USD,2026-09-13
2025-06-02,142.73,European Central Bank reference rates,EUR/JPY div EUR/USD,2026-09-13
2025-06-09,144.50,European Central Bank reference rates,EUR/JPY div EUR/USD,2026-09-13
2025-06-16,144.19,European Central Bank reference rates,EUR/JPY div EUR/USD,2026-09-13
2025-06-23,147.55,European Central Bank reference rates,EUR/JPY div EUR/USD,2026-09-13
2025-06-30,144.34,European Central Bank reference rates,EUR/JPY div EUR/USD,2026-09-13
2025-07-07,145.56,European Central Bank reference rates,EUR/JPY div EUR/USD,2026-09-13
2025-07-14,147.37,European Central Bank reference rates,EUR/JPY div EUR/USD,2026-09-13
2025-07-21,147.44,European Central Bank reference rates,EUR/JPY div EUR/USD,2026-09-13
2025-07-28,148.15,European Central Bank reference rates,EUR/JPY div EUR/USD,2026-09-13
2025-08-04,147.38,European Central Bank reference rates,EUR/JPY div EUR/USD,2026-09-13
2025-08-11,147.87,European Central Bank reference rates,EUR/JPY div EUR/USD,2026-09-13
2025-08-18,147.58,European Central Bank reference rates,EUR/JPY div EUR/USD,2026-09-13
2025-08-25,147.35,European Central Bank reference rates,EUR/JPY div EUR/USD,2026-09-13
2025-09-01,147.22,European Central Bank reference rates,EUR/JPY div EUR/USD,2026-09-13
2025-09-08,147.84,European Central Bank reference rates,EUR/JPY div EUR/USD,2026-09-13
2025-09-15,147.36,European Central Bank reference rates,EUR/JPY div EUR/USD,2026-09-13
2025-09-22,147.84,European Central Bank reference rates,EUR/JPY div EUR/USD,2026-09-13
2025-09-29,148.75,European Central Bank reference rates,EUR/JPY div EUR/USD,2026-09-13
2025-10-06,150.04,European Central Bank reference rates,EUR/JPY div EUR/USD,2026-09-13
2025-10-13,152.11,European Central Bank reference rates,EUR/JPY div EUR/USD,2026-09-13
2025-10-20,150.76,European Central Bank reference rates,EUR/JPY div EUR/USD,2026-09-13
2025-10-27,152.86,European Central Bank reference rates,EUR/JPY div EUR/USD,2026-09-13
2025-11-03,154.22,European Central Bank reference rates,EUR/JPY div EUR/USD,2026-09-13
2025-11-10,154.10,European Central Bank reference rates,EUR/JPY div EUR/USD,2026-09-13
2025-11-17,154.90,European Central Bank reference rates,EUR/JPY div EUR/USD,2026-09-13
2025-11-24,156.98,European Central Bank reference rates,EUR/JPY div EUR/USD,2026-09-13
2025-12-01,154.80,European Central Bank reference rates,EUR/JPY div EUR/USD,2026-09-13
2025-12-08,155.55,European Central Bank reference rates,EUR/JPY div EUR/USD,2026-09-13
2025-12-15,155.13,European Central Bank reference rates,EUR/JPY div EUR/USD,2026-09-13
2025-12-22,157.32,European Central Bank reference rates,EUR/JPY div EUR/USD,2026-09-13
2025-12-29,156.36,European Central Bank reference rates,EUR/JPY div EUR/USD,2026-09-13
